shoulder_cm,arm_cm,height_cm,weight_kg,size_label,shoulder_cm_raw,chest_cm_raw,arm_cm_raw,height_cm_raw,weight_kg_raw
-0.7391263061751803,-1.73669132050588,-1.1068383337145302,0.019777341392145178,L,40.2,109.6,83.0,168.3,85.1
-0.9085207866034413,0.06831001390850171,0.9495975966173132,0.3721728977196058,L,39.9,106.3,89.7,181.5,89.7
-0.1180132112715686,-0.8746011309348317,0.9495975966173132,0.18065357362859497,M,41.3,103.0,86.2,181.5,87.2
-0.17447803808098492,-0.3896753993011181,-1.262628934497246,-0.20238507455342677,L,41.2,110.6,88.0,167.3,82.2
1.0677481517262424,1.09204211402412,1.1988625578696572,2.019239084902299,XL,43.4,116.3,93.5,183.1,111.2
-0.17447803808098492,-0.847660812510738,0.6380163950518821,1.0616424644472449,L,41.2,108.9,86.3,179.5,98.7
0.5595647104414675,0.41853415342173905,1.41696939896546,1.965613674156816,XL,42.5,114.9,91.0,184.5,110.5
-2.037817322791832,-0.7398995388143554,-1.0445220934014432,-0.5088159930990441,L,37.9,104.1,86.7,168.70000000000002,78.2
-1.699028361935314,-0.4435560361493094,0.030433051999290587,0.15767125473767388,L,38.5,105.6,87.8,175.6,86.9
0.05138126915669242,-0.9284817677830229,-1.5118938957495942,-0.4551905823535609,M,41.6,102.5,86.0,165.7,78.9
-1.1343800938411186,-1.73669132050588,-1.9013703977063832,-1.2136071057539644,M,39.5,100.0,83.0,163.2,69.0
0.2772405763943698,0.09525033233259542,-0.2967272096444112,-0.4322082634626398,M,42.0,102.6,89.8,173.5,79.2
-1.4731690546976366,-0.4974366729975006,-0.4369387503488561,-1.1446601490812,M,38.9,98.9,87.6,172.6,69.9
1.2936074589639197,1.4961468903855486,1.915499321470148,2.785316381266343,XXL,43.8,125.1,95.0,187.7,121.2
0.6724943640603082,0.9842808403277375,2.0712899222528636,0.22661821141043711,M,42.7,103.0,93.1,188.7,87.8
-1.699028361935314,-0.17415285190835697,0.17064459270373547,-1.0910347383357177,M,38.5,97.0,88.8,176.5,70.6
0.6160295372508878,1.3614452982650724,0.6068582748953364,-0.20238507455342677,M,42.6,103.5,94.5,179.29999999999998,82.2
1.1242129785356627,0.9842808403277375,1.479285639278547,1.099946329265447,L,43.5,107.6,93.1,184.9,99.2
-0.005083557652727914,0.6879373376626915,0.8872813563042261,-0.677352998299134,M,41.5,103.8,92.0,181.1,76.0
0.10784609596611276,-0.6860189019661642,-0.23441096933132408,1.0693032374108848,L,41.7,111.3,86.9,173.9,98.8
-2.0942821496012525,-1.2517655888721666,-1.3405242348886082,-0.685013771262774,M,37.8,101.1,84.8,166.79999999999998,75.9
-0.1180132112715686,0.6609970192385978,0.528962974503983,0.3798336706832458,M,41.3,102.4,91.9,178.8,89.8
0.7289591908697245,0.6879373376626915,-0.12535754878342498,-0.5088159930990441,M,42.8,99.7,92.0,174.6,78.2
-0.6261966525563436,-1.0901236783275927,-0.06304130847033786,-0.1334381178806635,L,40.4,105.7,85.4,175.0,83.1
1.4065371125827604,0.9304002034795501,0.8717022962259554,1.1305894211200083,L,44.0,108.2,92.9,181.0,99.6
-2.6024655908860272,-2.1677364152914023,-0.6862037116012001,-0.8152469116446616,M,36.9,100.2,81.4,171.0,74.2
1.2936074589639197,1.09204211402412,1.4481275191220013,0.9160877781380763,XL,43.8,113.2,93.5,184.7,96.8
-0.5697318257469233,0.041369695484404174,0.8872813563042261,0.5177275840287734,XL,40.5,112.3,89.6,181.1,91.6
1.971185380676956,1.4422662535373574,0.4043304938778088,1.774094350065805,XL,45.0,117.5,94.8,178.0,108.0
